"Date","Price","Open","High","Low","Vol.","Change %"
"09/18/2024","5,564.0","5,580.0","5,600.0","5,510.0","1.15K","0.22%"
"09/13/2024","5,552.0","5,532.0","5,578.0","5,526.0","0.31K","0.29%"
"09/12/2024","5,536.0","5,566.0","5,582.0","5,510.0","0.18K","-0.18%"
"09/11/2024","5,546.0","5,602.0","5,624.0","5,502.0","2.18K","-1.42%"
"09/10/2024","5,626.0","5,616.0","5,670.0","5,612.0","0.36K","-0.04%"
"09/09/2024","5,628.0","5,652.0","5,660.0","5,610.0","3.11K","-0.67%"
"09/06/2024","5,666.0","5,712.0","5,712.0","5,640.0","2.03K","-0.56%"
"09/05/2024","5,698.0","5,652.0","5,744.0","5,652.0","2.44K","-1.18%"
"09/04/2024","5,766.0","5,840.0","5,866.0","5,648.0","3.97K","-1.17%"
"09/03/2024","5,834.0","5,792.0","5,888.0","5,792.0","3.22K","0.41%"
"09/02/2024","5,810.0","5,810.0","5,840.0","5,790.0","3.60K","-0.45%"
"08/30/2024","5,836.0","5,840.0","5,850.0","5,810.0","6.70K","0.21%"
"08/29/2024","5,824.0","5,786.0","5,856.0","5,764.0","8.73K","0.10%"
"08/28/2024","5,818.0","5,808.0","5,848.0","5,796.0","13.88K","0.66%"
"08/27/2024","5,780.0","5,790.0","5,802.0","5,756.0","18.69K","0.59%"
"08/26/2024","5,746.0","5,710.0","5,780.0","5,706.0","26.59K","0.28%"
"08/23/2024","5,730.0","5,760.0","5,760.0","5,708.0","26.84K","-0.10%"
"08/22/2024","5,736.0","5,738.0","5,760.0","5,718.0","40.25K","0.35%"
"08/21/2024","5,716.0","5,688.0","5,750.0","5,688.0","87.59K","0.53%"
"08/20/2024","5,686.0","5,684.0","5,714.0","5,666.0","101.17K","0.32%"
"08/19/2024","5,668.0","5,658.0","5,696.0","5,634.0","133.63K","0.39%"
"08/16/2024","5,646.0","5,650.0","5,690.0","5,616.0","139.02K","0.43%"
"08/15/2024","5,622.0","5,630.0","5,676.0","5,590.0","203.44K","-0.43%"
"08/14/2024","5,646.0","5,652.0","5,680.0","5,602.0","189.18K","-0.88%"
"08/13/2024","5,696.0","5,700.0","5,730.0","5,654.0","207.67K","0.18%"
"08/12/2024","5,686.0","5,724.0","5,740.0","5,646.0","250.20K","0.53%"
"08/09/2024","5,656.0","5,612.0","5,734.0","5,564.0","354.96K","-0.53%"
"08/08/2024","5,686.0","5,680.0","5,748.0","5,544.0","343.59K","0.35%"
"08/07/2024","5,666.0","5,650.0","5,700.0","5,632.0","199.34K","-0.21%"
"08/06/2024","5,678.0","5,646.0","5,722.0","5,622.0","207.75K","-0.46%"
"08/05/2024","5,704.0","5,770.0","5,790.0","5,656.0","309.95K","-0.38%"
"08/02/2024","5,726.0","5,738.0","5,786.0","5,678.0","302.86K","-0.35%"
